ID,L3,Finding Category,Priority,Description, Recommendation,Type of correction action,Categories of corrective action strength
25258,PT. Mitra Purnama Engineering,Work at Heights,High,It was observed that 2 (two) scaffoldings without red tags are still under progress to erection.,Provide red tag/ green tag and please re-inspect by Scaffold inspector.,1,1
25286,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,Sides of building construction area not protected which potential fall and trip hazard,MPE should prepare more hard barricade to ensure all potential hazards being protected,1,1
25286,PT. Mitra Purnama Engineering,Slips and trips,Medium,Found several unsafe access to unlevel areas,Such risky condition should captured by MPE by providing a safe access / temporary stairs made of concrete or wood for ascending/descending access,1,1
25286,PT. Mitra Purnama Engineering,Security,High,Security Officer did not aware of safety passport (and temporary) check prior entering the site (either for workers or visitors),More coaching must given to security officers since they are the PIC for access control including verifying safety passports,3,3
25286,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,Most of L4 workers on site not given temporary safety passports (even evidence of safety passport can't be fully fulfilled by MPE),"Safety Induction should be the first thing HSSE MPE prepared properly prior deployed them on activity in the Red Zone. Should MPE cannot fully prepare Safety Induction evidence, then re-induction should be conducted complete with temporary safety passport to all workers",3,3
25286,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,There are several MPE employee (such as admins) who's not have Meinhardt EPCM Safety Passport,Provide Meinhardt EPCM Safety Passport as agreed,2,3
25286,PT. Mitra Purnama Engineering,Housekeeping,High,Poor housekeeping on front side area,Front side is a cover that could reflect what the site would be. Such dirty and improper housekeeping in front side can make image of the site bad. Regular housekeeping should be conducted,1,1
25286,PT. Mitra Purnama Engineering,Housekeeping,High,Poor housekeeping on storage areas,Regular housekeeping must be conducted and ensure all storage areas maintained and classified based on the first plan,1,1
25286,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,Banned ladder A still found on site,This is obvious. The ladder must be taken out immediately,1,1
25286,PT. Mitra Purnama Engineering,Work at Heights,High,Found improper material for scaffolding still laid on site,Proper inspections for every tools and equipment should be conducted and maintained by MPE to ensure such improper condition no longer can be found on site,3,3
25286,PT. Mitra Purnama Engineering,Work at Heights,High,Workers took initiative to install the scaffolding without coordinate with inspector  (do not understand of scaffolding inspector role),Passive and inactive PH and scaffolder inspector who's lack of initiative to do regular inspection on site should not be tolerated further. Education on workers also need to in place so they understand that every scaffolding erection must approved by appointed scaffolder inspector,3,3
25300,CIRA International,Housekeeping,Medium,Temporary cable to low,Add the temporary pole support to temporary cable ,1,1
25314,PT. Mitra Purnama Engineering,Protruding objects,High,saw a stake iron protruding,please give some protection such as rubber or barricade so more safe when workers walk through,1,1
25314,PT. Mitra Purnama Engineering,Protruding objects,High,there is a protruding wooden stick coming out,please give proper barricade or signage for safe access and pathway,1,1
25316,,Protruding objects,High,see a stek rebar protruding,please give some protection such as rubber or barricade so more safe when workers walk through,1,1
25316,,Housekeeping,High,visible when visiting site unused material scattered,use housekeeping & Setting up a place Arrangement of temporary and unused materials & proper,1,1
25316,,Protruding objects,High,see a stek rebar protruding in the wall tank,please give some protection such as rubber or barricade so more safe ,1,1
25327,PT. Mitra Purnama Engineering,Housekeeping,Medium,"The scaffolding material area is untidy, ",Conduct housekeeping with material management based on the type of material and barricade and signage.,1,1
25327,PT. Mitra Purnama Engineering,Housekeeping,Medium,There is steel material in the panel room area,"Immediate housekeeping in the area, install rubber mad and add marking and signage to inform that no materials are placed in the electrical panel area.",1,1
25327,PT. Mitra Purnama Engineering,"Rules, regulations not followed",High,Mess Worker not follow Worker Welfare Standart,Please follow the worker welfare standart ,3,3
25344,PT. Mitra Purnama Engineering,Communication,Low,make the entrance sign on the door,'Signs for entry at the door must be made so that people know where the position of the entrance to the project is,1,1
25344,PT. Mitra Purnama Engineering,Traffic,Low,The entrance to access materials or goods needs repair,'Access to the entrance of all materials must be ensured safe when entered by vehicles,1,1
25344,PT. Mitra Purnama Engineering,Security,Low,When a new person enters the site,'Security is the first person who must accept everyone who will enter the site. Security must be able to explain site conditions and lay out the red zone and green zone areas as well as the rules in the project clearly,3,3
25344,PT. Mitra Purnama Engineering,Communication,Medium,Prohibition of receiving telephone calls in the red zone area,'The red zone is where all work activities are carried out. it is not allowed for someone to work while on the phone in the red zone area seeing the condition of the site a lot of work and must pay attention to the line of fire,3,3
25351,PT Anugerah Petro Indonesia,Heat / radiation,High,Inappropriate planning stages during work carried out in open spaces in excavation areas where there are no temporary tents to protect workers from heat stress.,"Provide and install temporary tents in open space areas (excavation areas) to protect workers from heat stress, including updating the LMRA in JHA.",1,1
25352,CIRA International,"Exposure (chemical, noise, etc)",High,It has been observed the temporary storage of hazardous waste materials without proper secondary containment to prevent exposure to chemical hazards at the project site.,"Ensure to segregate solids of hazardous materials and must be provided with proper secondary containment, including installing a cover before handover/ handling by third parties.",1,1
25371,PT. Mitra Purnama Engineering,Protruding objects,Medium,Missing rebar protection,Rebar protection to be in place with necessary measure. Consistency on the application of should be maintained by assigned PH/Supervisor to be responsible on it,2,3
25371,PT. Mitra Purnama Engineering,Electrical,Medium,Panel was blocked by others material and object,To remove materials nearby the panel. Ensure sufficient clearance space in front of panel with rubber mat to be available at main panel,1,1
25371,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Low,Incomplete family contract number in ID Card,Complete family contact number in ID Card. Security to take in charge by fully perform site manning and access control.,2,3
25371,PT. Mitra Purnama Engineering,Electrical,Low,No proper bonding into the main body of panel,install bonding into the body of panel,1,1
25371,PT. Mitra Purnama Engineering,"Excavation, ingress, egress",Medium,No proper use of ladder for access,ladder should be extend up to 1 m from the landing ground. Additional pipe need to be install ,1,1
25371,PT. Mitra Purnama Engineering,Rotating equipment,Medium,Inadequate guarding for crown protection on mini concrete mixer machine.,Provide additional guarding to ensure crown is fully enclosed. ,2,1
25376,PT. Mitra Purnama Engineering,"Inspection, signage, tag",Low,"B3 Compartment filled with worker's tools, Need to empty this B3 bin","Empty the Worker's tools, as this Bin is only for waste material",1,1
25396,CIRA International,"Barricading (inadequate, inappropriate)",Low,Need to improve the work area in parking area,Please put a proper vapor barrier and proper barricade,1,1
25396,CIRA International,"Exposure (chemical, noise, etc)",Medium,No MSDS found for r=thinner being used,Please put MSDS as part of assurance for the product,2,1
25401,PT Anugerah Petro Indonesia,Housekeeping,Low,There is pack of used material on ground,Improve awareness for housekeeping after finish the job.,,
25528,PT Usaha Engineering Services,"Rules, regulations not followed",Low,The blue zone has been done but there is no MOM,-Immediately make a MOM about the Blue zone about the work being done,2,1
25528,PT Usaha Engineering Services,"Permit (inadequate, not present)",Low,JHA signature Not appropriateately repaired.,Training about JHA and immediately repaired,2,3
25535,PT. Mitra Purnama Engineering,Competence,Medium,Entrance access door handle broken,'the door is one of the first access before entering the project area. the door must be repaired,1,1
25535,PT. Mitra Purnama Engineering,Housekeeping,Medium,lots of dust in the grenzone area,Spray with water so there is not much dust,1,1
25535,PT. Mitra Purnama Engineering,Communication,Medium,the organizational structure is not found on the information board,Post the project organizational structure on the information board so guests can find out who is in charge of the project,2,4
25535,PT. Mitra Purnama Engineering,Competence,Medium,there is no information related to smoking in the green zone area,Smoking is not permitted in Greenzone. for information no smoking,1,1
25555,PT Usaha Engineering Services,"Inspection, signage, tag",Low,Manual Forklift Not currently not in use but not tag,Immediate tagging,1,1
25592,PT Anugerah Petro Indonesia,Housekeeping,Low,There is improper equipment storage,Tidy up the equipment storage,1,1
25606,PT. Mitra Purnama Engineering,Communication,Low,BBSQ & Stop Work Board not yet fully utilized as engagement board to set a target of intervention ,on site coaching had been given to site hsse manager. site hsse manager to conduct training session to ph and do observation during session lead by ph. continuously use this to be sustain as practice with reward and recognition being set also to motivate frontline workers ,2,3
25606,PT. Mitra Purnama Engineering,Work at Heights,High,defect pin lock of scaffolding frame observed. incomplete material also being observed that might lead worker do short cut in adapting with resource constraint ,"Quickly replace the frame. check all of scaffolding frame and return back to the vendor if any defect observed. 

ensure availability of catwalk to allow safe working platform being installed ",1,1
25606,PT. Mitra Purnama Engineering,Protruding objects,Medium,protruding object without proper protection,install rebar cap on protruding object immediately ,1,1
25621,PT. Mitra Purnama Engineering,Competence,Medium,unsuitable scaffolding parts installed ,Technicaian scaffolding and SPV  need more refresher and read the standart and technical guidance from meinhardt,2,3
25621,PT. Mitra Purnama Engineering,Protruding objects,Medium,Sole board that is not suitable and there are debris of nails that have the potential to be punctured.,Replace all sole boards and replace them with good sole boards that have a length of 225mm and thickness of 38mm. The jackbase must be centered perfectly on the sole board. No hanging parts are allowed Refer the technical Guidance,1,1
25621,PT. Mitra Purnama Engineering,Work at Heights,Medium,Some pinlock bracing is broken,Immediately replaced with a frame that is in good condition.,1,1
25621,PT. Mitra Purnama Engineering,Slips and trips,Medium,there is a potential for slip on the jackbase because it has a level difference near the caping beam.,Put the sandback along the area near the caping beam.,1,1
25646,PT Laju Niaga Gemilang,Environmental polution,High,Environment hazard by not putting secondary containment during painting,Painting without proper containment are prohibited which could cause harm to environment. A simple containment made of wood (or a sheet of plastic during painting) must be in place,1,1
25646,PT Laju Niaga Gemilang,Procedures not followed / inadequate,Medium,No list of first aid use while there was some items that already been open and used,Usage of first aid must monitored and acknowledge by site first aider by updating the checklist,3,3
25649,CIRA International,Slips and trips,Medium,Poor cable management,Cable stand need to be provided as discussed,1,1
25649,CIRA International,Housekeeping,Medium,Poor housekeping on spill kit and other equipment,Housekeeping should awared by all team especially for spill kit equipment (proper container should provided),1,1
25649,CIRA International,Fire / explosion,High,Found minor damages at the pump body (which carried pressure),"Not only visual, thorough and deep inspection should be conducted by CIRA for all equipment before deployed to site, especially the ones which critical such as pumps that carry high pressure",3,3
25649,CIRA International,"Permit (inadequate, not present)",High,Found workers not signed the WCF,WCF need to be signed and understood by workers,2,3
25649,CIRA International,Fire / explosion,High,Improvement need for the pump used by CIRA,"To ensure not contacted by LEL presence, pump that potentially draw ignition should be protected by extra barrier (isolation/protection using wood or any other isolator materials)",1,1
25677,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Contact information/ org chart not avaliable on site,adding contact information/ org chart on Toolbox tent and security zone,2,4
25677,PT Laju Niaga Gemilang,Security,High,SM not register himself on visitor form,"Please make sure all L4, visitor, and team to  fill up registration ",2,3
25677,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Safety sign in front of site is not fulfilling enough,", please add more signage",1,1
25695,PT. Mitra Purnama Engineering,Housekeeping,Low,Inadequate housekeeping practice on storage of FBH and wooden materials ,conduct housekeeping by today as immediate action. regularly perform audit pertaining on observing housekeeping condition,3,3
25695,PT. Mitra Purnama Engineering,Work at Heights,Medium,incomplete scaffolding installation without proper tagging system. scaffolding missing catwalk to fully protect workers on the hazard of height. ,"improve planning and have proper sequence depend on the availability of material. as discussed at site, additional material to be mobilize to support safe installation. refer to the standard of scaffolding to check completeness of it prior to use ",3,3
25695,PT. Mitra Purnama Engineering,Slips and trips,Medium,no proper edge protection and access for different elevation at select building,install mobile barricade at the edge and install proper stair by using scaffolding ,1,1
25695,PT. Mitra Purnama Engineering,Work at Heights,Medium,"incomplete scaffolding installation on missing of tag, toe board and safety net",install scaffolding by referring to MHT standard and ensure it can be done immediately ,1,1
25695,PT. Mitra Purnama Engineering,Work at Heights,Medium,unsafe installation of ashiba to meet minimum requirement as working pkatform,install more ashiba to met minimum width as safe walking platform including railing protection,1,1
25715,PT. Mitra Purnama Engineering,Competence,High,entry access for materials and heavy equipment is damaged. immediately repair or rent a plate,entry access for material and heavy equipment must always be safe because this access is the only one for mobilization and demobilization,1,1
25715,PT. Mitra Purnama Engineering,Housekeeping,Medium,messy formwork waste left over from demolition,All formwork waste left over from messy demolition must be collected immediately and removed from the site,1,1
25715,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Medium,Materials and work tools do not match the location,"The material storage warehouse has been created, workers must be informed about storing work tools in their place",2,1
25715,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",High,soakwell placement no barricade,Soak well placement that has been graded for placement must be provided with a barricade so that workers do not just stand in the area,1,1
25715,PT. Mitra Purnama Engineering,Work at Heights,High,Scaffolding construction is not complete with top handrail,scaffolding must be complete with top handrail. Scaffolding technicians must be able to understand the risks of incomplete scaffolding access,1,1
25751,PT Anugerah Petro Indonesia,"Exposure (chemical, noise, etc)",High,It was observed that there was no protection on the existing STP equipment and all accessories were directly exposed to the forecourt area 1.,Provide and install a base and cover with tarpaulin so that the forecourt area/site area is not directly exposed to hazardous waste and no small materials can enter the oil separator.,1,1
25751,PT Anugerah Petro Indonesia,"Excavation, ingress, egress",High,It was observed that there was no protection on the existing STP equipment and all accessories were directly exposed to the forecourt area 2.,Provide and install a base and cover with tarpaulin so that the forecourt area/site area is not directly exposed to hazardous waste and no small materials can enter the oil separator.,1,1
25752,CIRA International,PPE incomplete / inadequate,High,2 (two) workers are exposed to noise levels without any form of hearing protection.,The exposure time must be reduced and/or monitoring and ensure to use ear plug during inerting activities.,2,1
25752,CIRA International,"Exposure (chemical, noise, etc)",High,There is no SDS available at site for Nitrogen material and still not socialize to the site team. (Note: SDS already embed in CRR document),Provide SDS relevant and socialize to all site team prior starting the job. ,3,3
25752,CIRA International,"Permit (inadequate, not present)",High,"In JHA, we still haven't capture on the work using galvanized pipes as electrostatic protection and the use of tripods, including to install grounding during the job.",Please perform LMRA and update into JHA as required.,4,1
25753,PT Laju Niaga Gemilang,"Exposure (chemical, noise, etc)",High,The hose at the eyewash station is covered in mossy and can cause the water to become unsterile if used in an emergency.,Replace the hose on the eye wash and make sure it is checked regularly in weekly basis.,1,1
25753,PT Laju Niaga Gemilang,Procedures not followed / inadequate,High,Inappropriate supplies of first aid kits and first aid kit bags based on regulation.,Replace the first aid kit bag and complete the stock of first aid kit. The checklist also needs to update as per regulation standard.,1,1
25753,PT Laju Niaga Gemilang,Procedures not followed / inadequate,Medium,First aid facility safety signs do not follow regulatory standards.,Replace the first aid facility safety signs by following the regulatory standards.,1,1
25753,PT Laju Niaga Gemilang,Competence,High,Observed that the safety passport of LNG staff (Ibu Putri) has already expired during visit to the site.,Propose MHT EPCM Safety Passport and ensure all LNG staff must have a valid Safety Passport prior visit to the site.,2,3
25753,PT Laju Niaga Gemilang,Communication,Medium,The LFI on bulletin board at site still in English version.,"Provide the LFI and all information in bulletin board in Bahasa, including to socialize to the site team and maintain the record.",3,3
25755,PT. Mitra Purnama Engineering,Housekeeping,Low,No proper houseekeping to clear access for workers who will hold tag line,"Conduct regular housekeeping and set it as a target to be agreed between PH, Foreman and workers ",3,3
25755,PT. Mitra Purnama Engineering,Work at Heights,High,unsafe installation of cross brace,"Remove all of defect scaffolding out of site. MPE to provide improvement plan on the selection, inspection and supervision of scaffolding installation ",3,3
25755,PT. Mitra Purnama Engineering,Protruding objects,Low,No cover on end pipe,Provide cover and warning sign ,1,1
25755,PT. Mitra Purnama Engineering,Electrical,Medium,unsafe cable management practice. cable laid on ground and left without proper protection on contact with scaffoldign frame which is considered steel,Engage PH to keep monitor on cable management practice. Provide cover by use of hose or pvc pipe on the section of cable contact with scaffolding frame ,1,1
25755,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,Low,Workers about to use improper type of faceshield,Remove improper type of faceshield out from site ,1,1
25805,PT Anugerah Petro Indonesia,Housekeeping,Low,There is improper hose storage.,Immediately to put the hose properly.,1,1
25830,CIRA International,"Rules, regulations not followed",Low,First aid box is not stored in proper place,First aid kit has been stored in its place,1,1
25830,CIRA International,PPE incomplete / inadequate,Medium,Worker not wear hand gloves during activity,Workers wear gloves during their activities,1,1
25847,PT. Mitra Purnama Engineering,"Permit (inadequate, not present)",Medium,Rescue Plan did not aligned with the actual plan in case of someone needs rescue,Drill has been conducted for confined space entry / excavations. Rescue Plan should aligned with it,2,2
25847,PT. Mitra Purnama Engineering,Work at Heights,High,Current Working at Height condition makes people unable to 100% tie off,Additional rails should be added to attached the lanyard properly especially when workers are mobile,1,1
25847,PT. Mitra Purnama Engineering,Work at Heights,High,Improper knots by using bendrat wire on scaffolding,"Using ashiba as footing is common practice in construction. However, a proper wire to tie the ashiba should be in place instead of regular bendrat. Suggest to use wire materials made of galvanized 2mm which a standards in BS and JIS, or simply replace all with regular frame catwalk",1,1
25847,PT. Mitra Purnama Engineering,"Inspection, signage, tag",High,Scaffolding Tag not updated more than 7 days,Scaffolder Inspector should proactively monitoring scaffolding on site including updating tags,3,3
25851,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Lacking information,Adding tag about vehicle entry,1,1
25851,PT Laju Niaga Gemilang,Security,High,ERP not found in security area,Adding ERP to Security Area,1,1
25851,PT Laju Niaga Gemilang,"Excavation, ingress, egress",High,Only one stair found,Adding one more stair,1,1
25853,PT. Mitra Purnama Engineering,Slips and trips,Medium,elctrical cable lying on the ground,add poles so that the position of the electric cable is above the worker's head to avoid workers tripping.,1,1
25853,PT. Mitra Purnama Engineering,Housekeeping,Medium,pieces rebar lying on the ground,"the piecs of rebar have sharp part that can be harm to worker, please do the housekeeping to ensure all the piece of rebar moved to trash area",1,1
25853,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,excavation foundation area without barricade,put barricade at the axcavation area to ensure noone fall to the excavation area,1,1
25859,PT Laju Niaga Gemilang,Protruding objects,High,Ex wiremesh pointing at working area at excavation area,Make sure all of them is not pointing to the working area,2,1
25859,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",High,Barricading not wholely cover excavation area,Make sure barricading is covering whole excavation area,1,
25864,PT Anugerah Petro Indonesia,Housekeeping,Medium,Ex-Material FS placed without protection,Ensure put the ex-materials properly with tarpaulin cover and based to prevent the contaminate ,1,1
25865,PT Laju Niaga Gemilang,Mechanical impact,High,Need more temporary support,Add more temporary support to prevent excavation wall collapse ,1,1
25914,PT Anugerah Petro Indonesia,Housekeeping,Medium,There are some pipes not covered with covers,Ensure that before leaving the field all pipes are covered with covers or wrapping.,1,1
25914,PT Anugerah Petro Indonesia,Housekeeping,Medium,Overstacking dispencer sump,make a stack of sump dispensers max 2 to ensure sump dispensers fall due to wind  which results in asset damage.,1,1
25914,PT Anugerah Petro Indonesia,Environmental polution,Medium,xylene storage is not proper,Please prepare one box for all chemical material for supporting fuel system activities,,1
25922,PT Laju Niaga Gemilang,Communication,High,"There are 2 names in panel temporary at site, assigned name also not presence at site ",Comply with CRR document ,2,1
25937,PT Laju Niaga Gemilang,Electrical,High,Found 3 (three) standing cable holders which have the potential to conduct electric current/worker electrocuted if the cable is peeled/damaged.,Provide and installed a material that absorbs the energy that can protect from damaging effects on cable management at project site.,1,1
25937,PT Laju Niaga Gemilang,Fire / explosion,High,Found the over-pressurized fire extinguisher could worsen the fire and compromise the safety of occupants.,"Remove and replace the fire extinguisher from project site. Ensure the fire extinguisher to be place not under the sun and conduct visual checked in daily basis, and inspection by weekly.",1,1
25963,PT AMFUTURE SATRIASYACH PRATAMA,Competence,Low,Incomplete L4 safety Passport to validate accreditation of L4,Fill out properly as per date of training as immediate action. Plan to perform Demolition Training and ensure accreditation test been performed accordingly. All record of high risk accreditation test to be record properly in filing document.,2,3
25963,PT AMFUTURE SATRIASYACH PRATAMA,Electrical,Medium,"A few of gap observed on the set-up of temporary distribution panel as follow : missing PIC, improper use of socket, no ELCB installed",Post PIC signage in front of PIC. Install ELCB and modify the outlet socket to be suitable and fit for purpose ,1,1
25963,PT AMFUTURE SATRIASYACH PRATAMA,Isolation(LOTOTO effectiveness),High,No use of proper lock out device and tag out. Information on LOTOTO section under permit also not authorized by assigned certified electrician,Provide proper lock out and tag out device. Use of lock clamp and necessary accessories to be fit as per isolation points. This should be done under supervision of certified electrician person.  ,1,1
25965,PT. Mitra Purnama Engineering,Procedures not followed / inadequate,Low,"Inconsistency documentation - not yet signed off by L2 PM due to still collecting data for completion, from the interview there was discussion with L2 for the readiness. Document completion provided by QAQC of L3, but the name mentioned is Construction Manager of L3, the one who prepare and review the data is the same person","To provide initial sign off and comment to ensure the
documentation is well covered for the review and sign off
by L2 despite the document is being prepared. To align on the CRR stage who will be prepare the CQC
from L3, who will be the one who sign off CQC from L3,
who the one who",2,3
25965,PT. Mitra Purnama Engineering,Slips and trips,Low,Access from building is using pile of sandbag,"To review the requirement of temporary access, suggest
to have proper access with platform setting",4,3
25965,PT. Mitra Purnama Engineering,Falling objects,Medium,Piles of rocks near to edge of the slope,"To provide more distance for any stock pile
material and reduce any risk for potential fall
toward down slope",1,1
25965,PT. Mitra Purnama Engineering,"Excavation, ingress, egress",Medium,There is an implementation suggested by MHT to provide bow plank monitoring not yet conducted by MPE,Update with action to be taken as per recommended by MHT,2,3
25965,PT. Mitra Purnama Engineering,"Excavation, ingress, egress",Medium,The design on the excavation plan not quite align on the actual condition – from visual observation,To confirm the design as per actual by MHT Engineer ,2,1
25995,PT AMFUTURE SATRIASYACH PRATAMA,Housekeeping,Medium,No proper access available with clear demarcation to the emergency exit,Immediate action taken to positioned the barricade to clear the access ,1,1
26006,PT Laju Niaga Gemilang,Slips and trips,High,There is a hole for the SUbmersible Pump that is not protected and less visible to workers in the UGT area. ,"PCC must install cover for protection Hole of SUbmersible Pump and Put Safety Barricade to increassing Visibility, ",1,1
26008,PT Anugerah Petro Indonesia,Procedures not followed / inadequate,Medium,The hole in the STP manifold is less closed so that it can cause the hole to be exposed to air so that it can cause corrosion.,Please wrap all manifolds to seal the holes on the manifold for prevent corrosion.,1,1
26008,PT Anugerah Petro Indonesia,Friction,Medium,UPP pipe is in direct contact with pie gravel,Please Put sandbags or styrofoam to prevent pipe damage from sharp pie gravel and heat from heat exposure,1,1
26009,PT Usaha Engineering Services,"Inspection, signage, tag",Medium,Nitrogen Cylender for Pre LOB Burried not provided MSDS,Please Put the MSDS at Cylender Nitrogen for Increassing Information regarding Handling and Hazard,2,1
26021,PT. Mitra Purnama Engineering,Housekeeping,Medium,Trash to be put in proper place,To be make tidy,1,1
26021,PT. Mitra Purnama Engineering,Housekeeping,High,To be put outside location,To be make tidy,1,1
26021,PT. Mitra Purnama Engineering,"Exposure (chemical, noise, etc)",High,Not checked yet the fire extinguisher,To be checked refer planning,3,3
26028,PT Anugerah Petro Indonesia,Housekeeping,Low,Unused materials have not been well organized.,Please make sure the work area is free of unused material.,1,1
26073,PT. Mitra Purnama Engineering,Slips and trips,Medium,Unprotected rebar stakes could harm worker ,Take out those rebar stakes to avoid worked get hurt from sharp object on rebar atakes,1,1
26073,PT. Mitra Purnama Engineering,"Barricading (inadequate, inappropriate)",Medium,Area pipin FS without protection or barricade from excavation activity ,put barricade or sand bag to separtrd and protected FS area from excavator maneuver during excavation activity.,1,1
26074,PT. Mitra Purnama Engineering,Work at Heights,Medium,observed multiple instances of suboptimal scaffolding installations. These may indicate broader issues concerning the efficacy of supervision and monitoring processes related to scaffolding works,"Increase supervision with real time feedback and communication channel between foreman and assigned scaffolding erector and PH. Have a plan also in ahead to identify ""next area"" of finding with proper mitigation in place. As photos attached, focus on having ground preparation work prior erecting scaffolding",2,3
26117,PT Laju Niaga Gemilang,Slips and trips,Medium,Existing steel rebar exposed have the potential to trip,Bend the rebar downward to prevent the trip,1,1
26119,PT Anugerah Petro Indonesia,Housekeeping,Low,There is cardboard waste in the UGT area.,Dispose cardboard waste,1,1
26141,PT Laju Niaga Gemilang,Housekeeping,Medium,There unused box laying aroung the trashbin,Clearing The area,1,1
26141,PT Laju Niaga Gemilang,Housekeeping,High,There ceramic from demolition cable line laying around,Clearing the area,1,1
26180,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Tag hasn't been update,Update till up to date,2,1
26205,PT Usaha Engineering Services,Communication,Medium,There is no LFI sharing based on risk register in CRR document prior starting the high-risk activity and still not displayed in the TBT area (information board).,To share the LFI relevant to the scope of work to all site team members during TBT session.,3,3
26205,PT Usaha Engineering Services,"Rules, regulations not followed",High,First aid kits at project sites were incomplete and checklists are not updated.,"Need provide ""2 perban 10 cm, 1 gunting, 1 pinset, 1 lampu senter, dan 1 kantong plastik bersih"" and revise the first aid kit checklist.",1,1
26205,PT Usaha Engineering Services,Communication,High,There is no Green Zone and Smoking Prohibition information at project site area.,To provide and installed the safety signed for green zone area and the prohibition of smoking.,1,1
26218,PT Heksagon Tiwikrama,Work at Heights,Medium,Unsafe use of ladder without buddy system in place,Implement learning session to improve in overall system ,2,3
26233,PT. Mitra Purnama Engineering,Slips and trips,Medium,electrical cable lying on the ground,"Electrical cable should not lying on the ground, it can be make worker get trip. add a pole to make the cable position above the worker's head",1,1
26233,PT. Mitra Purnama Engineering,Slips and trips,Medium,pieces of rebar stuck on the surface of the UGT area ,take out the pieces of rebar to avoid worker get harm due to sharp object on the rebar and get trip,1,1
26233,PT. Mitra Purnama Engineering,Housekeeping,Medium,aggregate with size more than 1.6 cm in the UGT area,move large aggregate from the UGT area as it will affect the compaction rate of aggregate in the UGT area.,1,1
26256,PT Usaha Jayamas Bhakti,"Barricading (inadequate, inappropriate)",High,Still using barricade tape to excavated area,Hard barricade should be provided and sufficient,1,1
26256,PT Usaha Jayamas Bhakti,"Inspection, signage, tag",Medium,Untagged handtools,"All handtools and equipment should be tagged based on the condition (green for ready, red for do not use)",2,1
26256,PT Usaha Jayamas Bhakti,"Rules, regulations not followed",High,Usage of improper ladder,No A ladder must be on site,1,1
26256,PT Usaha Jayamas Bhakti,"Inspection, signage, tag",Medium,No checklist of usage for first aid kits,Tracker by checklist should be provided for first aid usage,3,1
26268,PT Heksagon Tiwikrama,"Barricading (inadequate, inappropriate)",Low,Worker left newly assembled scaffold without providing barricades,Install barricades arround scaffold before leaving for other purpose,1,1
26269,PT AMFUTURE SATRIASYACH PRATAMA,Communication,Low,Missing to display core team safety passport and HSSE Performance at site (HSSE Statistic banner information),Print and display all necessary information as described in finding. ,2,3
26294,PT. Mitra Purnama Engineering,Slips and trips,Medium,Site Observed have a potential incident trip and fall hazard at Access worker using scaffolding ladder,added the asiba platform on top of the stairs and made sure the galvanized wire ties were secure.,1,1
26294,PT. Mitra Purnama Engineering,Housekeeping,Medium,Surrounding access worker is not safe because several waste material (wooden)  not protected properly,Housekeeping regularly to prevent waste accumulation,3,1
26302,PT Usaha Jayamas Bhakti,"Barricading (inadequate, inappropriate)",Medium,Rebar Stockpile without barricade,Put barricade to ensure rebar stockpile separate with worker path,1,1
26302,PT Usaha Jayamas Bhakti,Slips and trips,Medium,Tent materiallying on the ground,move tent material to safe area to  no worker get trip.,1,1
26303,PT. Mitra Purnama Engineering,Work at Heights,High,A few of unsafe scaffolding installation observed at site such as : incomplete scaffolding without proper railing; no use of sole board ; scaffolding foot laid on uneven ground ,"This is repetitive finding that might be a symptom of weakness on system in place to enforce, monitor wit all standard pertaining about scaffolding installation. Please do corrective action with proper assurance plan addressing system weakness  ",4,2
26342,PT. Mitra Purnama Engineering,Housekeeping,Medium,unorganized bekistink garbage in the project area,organize areas for placement of formwork and other demolition materials,1,1
26372,PT. Mitra Purnama Engineering,Slips and trips,Medium,Soakwell broken at first segment,Change the broken soakwell with the new one and barricade surrounding the broken soakwell to avoid worker trip and fall,1,1
26400,PT. Mitra Purnama Engineering,Property damage,Medium,Prayer tent damaged,Change the broken tent with the new one ,1,1
26447,PT. Mitra Purnama Engineering,Slips and trips,High,Cover soakwell not yet installed,please installed cover soakwell immediatly.,1,1
26447,PT. Mitra Purnama Engineering,Slips and trips,High,Cover/ hard barricade soakwell not proper,please installed cover soakwell immediatly.,1,1
26447,PT. Mitra Purnama Engineering,Housekeeping,Medium,Housekeeping is not good with material storage areas.,Please cleaning and manage debris formwork,1,1
26468,PT. Mitra Purnama Engineering,Work at Heights,Medium,Unsafe use of lightweight brick wall for support of scaffolding footing ,Remove and only use proper scaffolding footing (soleplate/timber). Ground preparation work must be done first before any erection of new scaffolding installation ,1,1
